YEAR,TITLE,LECTURER,MAJOR,LOCATION,DESCRIPTION,START,END,TIME,APPOINTMENT,CREDIT,CONTACT
2025ss,Sprechstunden,Hanne König,Exhibition Design and Scenography,R. 321 oder nach Vereinbarung,"Einzelsprechstunde zur Betreuung von freien Projekten, Vordiplomen, Diplomen oder begleitend zu Seminaren. / Individual consultation hours for supervision of independent projects, pre-diplomas, diplomas or accompanying seminars.",28.04.2025,25.07.2025,Nach Vereinbarung,Termine werden über den e-Mail-Verteiler kommuniziert,Kein Scheinerwerb möglich,hkoenig(at)hfg-karlsruhe.de
2025ss,"Hf(M)G - Hochschule für (Mit-)Gestaltung: Collectively imagining, shaping, and mediating care tools towards well-being and social safety at HfG","Filipa César (MK), Valentina Karga (PD), Nina Overkott + Abdelhamid Ameur (KD), Céline Condorelli + Hanne König (AdSz), Paolo Caffoni (KuPhi )",Exhibition Design and Scenography,R. 103,"Environmental, geopolitical, social, and technological transformations have been challenging social relations and safety in societies worldwide. At HfG there is no exception, and our community’s well-being has also been impacted by various processes that require attention, listening, constant reassessment, readjustment, unlearning, training, and the development of support and care tools. Building on various initiatives that groups and individuals over the past years at HfG have already engaged in aimed at tackling problems and raising awareness of discourse, language, systemic issues, and social justice — this umbrella seminar is a joint endeavor to creatively, collectively, and with an intersectional approach update the HfG code of conduct and shape a series of proposals on how to learn and live together and improve the social well-being of our community. Simultaneously, this seminar will be an opportunity to apply the tools of media and mediation, theory and language, communication and audiovisual practices, space-making and performance toward an attempt of collectively shaping (Mit-Gestaltung) the environment we wish to work in together. Through reading groups, collective writing, role-play, somatic practices, graphic design, scenography, media, and performance, this seminar is a collaborative initiative from the equality team of the AStA, the Community Toolkit Workshop, the GSB team, a representative of the teaching staff from all departments at HfG, and of the Personal Rat. We will kick off the seminar with a cross-departmental workshop to write together our own version of an awareness, care or ""code of conduct""-like document for the HfG. Following that, a series of workshops will be offered by different departments along with a CTW-led reading circle. The goal is to perform, mutate, zoom in, inhabit and expand the contents of the document. Informed by all the different inputs, towards the end of the seminar, we will reconvene to update the document and bind the body of work produced and shape various forms of presenting, disseminating, publishing and performing it during the Rundgang. The aim is for the results of this collective endeavor to reach through all segments of our HfG community. Join in to shape together Hf(M)G.",05.05.2025,27.07.2025,Ganztägig,"Mon. 05.05., Tue. 06.05., Wed. 07.05.; Tue. 20.05. + Wed. 21.05.; Tue. 03.06. + Wed. 04.06.; Tue. 17.06. + Wed. 18.06.; Tue. 24.06. + Wed. 25.06.; Tue. 01.07. + Wed. 02.07.; Tue. 08.07. + Wed. 09.07. - (hands-on production for Rundgang); Tue. 15.07. + Wed. 16.07. - (hands-on production for Rundgang); 24.- 27.07. - Rundgang Presentation",Leistungsschein Produktdesign; Leistungsschein Medienkunst; Leistungsschein Ausstellungsdesign; Leistungsschein Szenografie; Workshop-Nachweis Produktdesign; Workshop-Nachweis Medienkunst; Workshop-Nachweis Ausstellungsdesign; Workshop-Nachweis Szenografie; Workshop-Nachweis Kommunikationsdesign,hkoenig(at)hfg-karlsruhe.de
2025ss,Freie Projekte Kolloquium,"Prof. Céline Condorelli, Prof. Constanze Fischbeck, Vera Gärtner, Hanne König, Prof. (i.V.) Florian Malzacher, Philipp Schell",Exhibition Design and Scenography,R. 105,"Das Kolloquium für freie Projekte findet einmal pro Semester statt. Darin werden freie Projekte, die vorab im Rahmen von Sprechstunden betreut wurden, präsentiert und diskutiert. Studierende können je einmal ein Freies Projekt pro Studienabschnitt anrechnen lassen. The colloquium for free projects takes place once a semester. Free projects that have been supervised in advance in consultation hours are presented and discussed. Students can receive credit for one free project per study phase.",03.07.2025,03.07.2025,17:00 - 19:00,03.07.,Leistungsschein Ausstellungsdesign; Leistungsschein Szenografie,pschell(at)hfg-karlsruhe.de
2025ss,Heliophobia – how to display artworks on paper,"Prof. Céline Condorelli, Dr. Dorit Schäfer (Leitung Kupferstichkabinett Kunsthalle Karlsruhe), Philipp Schell",Exhibition Design and Scenography,R. 102 and Kunsthalle Karlsruhe,"Developing a New Exhibition Furniture Dieses Blockseminar zielt darauf ab, ein Ausstellungsmöbel für das Karlsruher Kupferstichkabinett in Zusammenarbeit mit der Staatlichen Kunsthalle Karlsruhe zu entwickeln. Durch eine Kombination aus Sammlungsbesuchen, Expert*innengesprächen, Workshops und gemeinschaftlichen Diskussionen werden wir Einblicke in die Konservierung, Lagerung und Präsentation von Kunstwerken auf Papier gewinnen. Zu den besonderen Sammelgebieten von Kunstmuseen gehören Kupferstichkabinette oder Grafische Sammlungen. Sie beinhalten viele Arten von Kunstwerken auf Papier: Zeichnungen, Druckgrafiken, Fotografien, illustrierte Bücher usw. In höfischen Sammlungen wurden diese in kleinen Zimmern (französisch „cabinets“) aufbewahrt, in denen sich eine exklusive Gruppe von Interessierten ihrem Studium intensiv widmen konnten. Heute erreichen diese Sammlungen in Online-Präsentationen ein breites Publikum und erfahren dadurch eine neue demokratische Öffentlichkeit. Dennoch sind die Existenz und die spezifischen Charakteristika grafischer Sammlungen den meisten Museumsbesucher*innen unbekannt. Denn aufgrund der Empfindlichkeit des Papiers gegenüber Licht, Luftfeuchtigkeit und Temperatur können die Werke nur in temporären Ausstellungen und bei einer geringen Beleuchtungsstärke von etwa 50 Lux gezeigt werden. In Kooperation mit der Staatlichen Kunsthalle Karlsruhe soll ein innovatives Ausstellungsmöbel entstehen, das die besondere Anforderungen der Präsentation von Kunst auf Papier erfüllt. Mit etwa 100.000 Einzelwerken gehört das Karlsruher Kupferstichkabinett zu den ältesten und bedeutendsten grafischen Sammlungen Europas. In Veranstaltungen vor Ort werden die Spezifika von Kunstwerken auf Papier, die große Bandbreite ihrer Techniken (Druckgrafiken, Zeichnungen, Aquarelle, illustrierte Bücher) anhand von Originalen studiert und die besonderen Herausforderungen im Umgang mit den Originalen, ihre Aufbewahrung und Restaurierung aus kunstwissenschaftlicher und restauratorischer Sicht erörtert sowie Präsentationsmöglichkeiten diskutiert. Die Herausforderung eines zu entwickelnden Ausstellungsmöbels ist die Kombination aus drei Elementen: 1. Die Präsentationsmöglichkeit von Kunstwerken auf Papier, die als lichtempfindliche Originale geschützt werden müssen 2. Eine bequeme Sitzgelegenheit, die Besuchende einlädt, sich niederzulassen und die ihre Aufenthaltsqualität in den Ausstellungsräumen erhöht 3. Ein digitales Vermittlungstool, das Informationen zu den Besonderheiten von Kunst auf Papier im Allgemeinen sowie zur spezifischen Sammlung der Karlsruher Kunsthalle Verfügung stellt. Eine Realisierung in Form eines Prototyps ist für das Wintersemester 25/26 geplant. This block-seminar aims to develop an exhibition furniture for the Karlsruhe Kupferstichkabinett in collaboration with Staatliche Kunsthalle Karlsruhe. Through a combination of collection visits, experts talks, workshop sessions and collaborative discussions, we will gain insight into the conservation, storage, and display of works on paper. Works on paper—drawings, prints, photographs, and illustrated books—are among the most fragile yet historically significant holdings in museum collections. Traditionally studied in private “cabinets”, they now present new curatorial possibilities through digital access and innovative display solutions. The existence and specific characteristics of graphic collections are still unknown to most museum visitors, and their sensitivity to light, humidity, and temperature imposes strict limitations, requiring thoughtful approaches to their presentation. In collaboration with Staatliche Kunsthalle Karlsruhe, this seminar will contribute to the development of a specialized exhibition furniture specifically designed for the Karlsruhe Kupferstichkabinett, one of Europe’s most significant collections of graphic art, comprising approximately 100,000 works on paper. We will study in the colllection, with introductions to original artworks on paper, to the wide range of techniques used (prints, drawings, watercolors, illustrat",30.04.2025,23.07.2025,11:00 - 17:00,"30.04. (Wednesday), 21.05. (Wednesday), 04.06. (Wednesday), 01.07. (Tuesday), 23.07. (Wednesday)",Leistungsschein Ausstellungsdesign,pschell(at)hfg-karlsruhe.de
2025ss,Lichtworkshop “LIGHT_NESS”,Sandra Blatterer,Exhibition Design and Scenography,Großes Studio,"Der Workshop ""LIGHT_NESS"" lädt ein, die Welt der Raum-Licht-Installationen zu erkunden, wobei der Fokus auf den individuellen Wirkungen und Entstehungsprozessen liegt. Ziel ist es, dass die Teilnehmenden die Lichtkörper und deren räumliche Anordnung aktiv erleben und reflektieren können. Durch das Experimentieren mit verschiedenen Materialien, Lichtquellen und Skizzierstrategien entwickeln die Studierenden eine eigene Ästhetik und hinterfragen die umgebende Architektur. Diese aktive Auseinandersetzung fördert die Schaffung unverwechselbarer Erfahrungsräume, die die Wahrnehmung herausfordern und erweitern. Über Sandra Blatterer: Der künstlerische Weg führte mich von der Bildenden Kunst ins Theater, vom Theater in die Performanceszene. Meine Werke umfassen zeichnerische Skizzen, Lichtdesigns und Lichtinstallationen unter Berücksichtigung architektonischer Beschaffenheiten. Hierarchiefreie, kollektive Arbeitsprozesse, wie ich sie in der Performanceszene kennengelernt habe, haben es mir ermöglicht, ein selbstständiges und kontextualisierbares künstlerisches Vokabular zu entwickeln, das die Erweiterung der Materialität meiner Arbeit miteinschließt. In meiner Wahrnehmung wird der Raum selbst zum Sprecher; diesen zu verstärken und zu verstehen, habe ich mir nicht zuletzt mit Lichtkonzepten- und Installationen zur Aufgabe gemacht.",12.05.2025,16.05.2025,09:00 - 16:00,"Montag, 12.05. - Freitag, 16.05.",Grundlagennachweis; Workshop-Nachweis Szenografie,sandra_blatterer(at)gmx.net
2025ss,Videoworkshop. “Archiveology Beyond Cinema”,Siska,Exhibition Design and Scenography,Großes Studio,"In ""Archiveology Beyond Cinema"" betrachte ich das Archiv als Prozess, nicht als Produkt – als Raum, in dem verborgene Geschichten entdeckt, reaktiviert oder bewusst gelöscht werden können. In einer Zeit, in der Bilder endlos reproduziert und optimiert werden, wird ihre Zerstörung ebenso bedeutsam wie ihre Bewahrung. Archiveology, wie ich sie untersuche, ist nicht nur ein Mittel der Erinnerung, sondern auch eine Form des Widerstands gegen dominante Narrative. Dabei interessiert mich nicht nur, welche Bilder erhalten bleiben, sondern auch, welche fehlen – und wie das Fehlen selbst eine kraftvolle Aussage sein kann. Es geht um die Macht der Bilder in einer Welt, in der smarte Geräte alles verschönern. Digitale Filter führen dazu, dass Bilder manipuliert und standardisiert werden, bis kaum noch Spuren der Realität bleiben. In diesem Kontext kann das bewusste Fehlen eines Archivs politisch aufgeladener sein als seine Existenz. Dieser Workshop lädt dazu ein, das bewusste Löschen und Zerstören von Bildern als künstlerische und politische Praxis zu erforschen. Durch die Arbeit mit Archivmaterial – ob analoger Film, digitale Dateien oder gefundenes Material – untersuchen wir, wie das Fehlen von Bildern neue Bedeutungsebenen schafft. In Kontexten, in denen Archive fragmentiert oder zensiert sind, wird Archivierung selbst zur archäologischen Praxis. Der Workshop erforscht Techniken der Degradierung, Glitch-Ästhetik und konzeptuellen Auslöschung. Indem wir Archive dekonstruieren, hinterfragen wir nicht nur die Beständigkeit von Bildern, sondern auch unsere eigene Rolle in der Gestaltung, Bewahrung und Auslöschung visueller Kultur – und die Kraft des Unsichtbaren. Der Workshop findet im Großen Studio statt, wo es möglich ist mit verschiedenen Bildformaten und Präsentationsweisen zu experimentieren und die Dynamik von Sichtbarkeit und Auslöschung direkt erfahrbar zu machen. Siska ist ein multidisziplinärer bildender Künstler und Filmemacher, der sich mit den Schnittstellen von Archiv, Film und Politik auseinandersetzt. Seine Arbeiten reflektieren über Trauma, Erinnerung, Geschichtsschreibung und die Materialität des bewegten Bildes. Seine Werke wurden international ausgestellt, darunter im Martin Gropius Bau (Berlin), Halle 14 (Leipzig), Paris 104 (Paris), Beirut Exhibition Center (Beirut), Mosaic Rooms (London), Berlinale (Berlin International Film Festival) und Silent Green Kulturquartier, sowie auf zahlreichen weiteren Festivals und in Kunstinstitutionen weltweit. Im Rahmen des Workshops an der HfG Karlsruhe zeigt Siska am 04. Juni um 19 Uhr im Kino im Blauen Salon auch zwei Filme, die sich mit Archiv und Archäologie beschäftigen: In the Ruins of Baalbeck Studios (2017) und J€sus $aves (2024, work-in-progress).",02.06.2025,06.06.2025,10:00 - 17:00,"Montag, 02.06. - Freitag, 06.06.",Grundlagennachweis; Workshop-Nachweis Szenografie,thesiskaz(at)gmail.com
2025ss,Exkursion Theatre du Maillon Strasbourg,"Prof. Constanze Fischbeck, Vera Gärtner",Exhibition Design and Scenography,R. 316 und Theatre du Maillon Strasbourg,"Die Kooperation mit dem Theatre du Maillon Strasbourg geht in die nächste Runde. Im Sommersemester 25 haben wir die Möglichkeit, die Aufführung “Wayqeycuna” von Tiziano Cruz zu sehen. Die Performance findet am Freitag, den 23. Mai um 20.30 Uhr statt und voraussichtlich haben wir die Gelegenheit, vor Ort ein Künstlergespräch zu führen. https://maillon.eu/de/inszenierung/938.wayqeycuna--tiziano-cruz Zum Format gehört ein szenografisches Nachgespräch am 27.05. um 16h.",23.05.2025,27.05.2025,20:30,"Freitag, 23.05.",Kein Scheinerwerb möglich,cfischbeck(at)hfg-karlsruhe.de
2025ss,unmute: Sprech- und Stimmtraining,Mareike Köhler,Exhibition Design and Scenography,BlackBox,"Ein leichtes Zittern, ein plötzliches Piepsen oder ein warmer, gelöster Klang – unsere Stimme verrät viel über uns. Sie zeigt, wie wir uns fühlen: ob wir unsicher oder aufgeregt sind, uns mutig fühlen, Wut spüren oder Gelassenheit. Aber das muss nicht entlarvend sein. Unsere Stimme ist ein gutes Tool, um sich selbst zuzuhören und kennenzulernen, sich zu zeigen – und um mit anderen in Kontakt zu gehen. In dem Workshop nähern wir uns der eigenen Stimme an. Wir fragen uns: Was brauche ich, um die eigene Stimme zu trainieren/stärken? Wie kann ich mich ausdrucksstark mitteilen und meine Gedanken überzeugend vermitteln? Gemeinsam erforschen wir unsere Stimme und die Möglichkeiten ihres Ausdrucks. Über verschiedene Übungen für Körper, Atem, Stimme und Artikulation nähern wir uns dem an, was als „die befreite Stimme“ bezeichnet werden kann und erproben sie unter anderem anhand von kurzen Texten und im freien Sprechen.",23.05.2025,25.05.2025,10:00 - 18:00 / 10:00 - 14:00,"23.05., 10 - 18 Uhr; 24.05., 10 - 18 Uhr; 25.05., 10 - 14 Uhr",Workshop-Nachweis Szenografie,mareike.koehler(at)posteo.de
2025ss,Kooperation mit der Theaterakademie Ludwigsburg,Prof. Constanze Fischbeck,Exhibition Design and Scenography,R. 316 und Theaterakademie Ludwigsburg,"In Zusammenarbeit mit den Ludwigsburger Regiestudierenden besteht die Möglichkeit, dass Studierende der HfG Raumentwürfe, Kostüme, Musik oder Videoprojektionen für 1-2 Produktionen einer/s Regiestudierenden Theaterakademie übernehmen. Begleitet wird der Konzeptions - und Realisierungsprozess von Prof. Constanze Fischbeck an der HfG und dem Team der Theaterakademie Ludwigsburg.",03.02.2025,24.05.2025,Nach Vereinbarung,"Kolloquium HfG: 03.02. und folgende Termine Theaterakademie Konzeptionsphase: 24.02. - 07.03. & 07. - 11.04.; Proben: 14.04.-21.05.; Premiere, 2. Vorstellung, 3. Vorstellung: 22., 23., 24.05.",Leistungsschein Szenografie,cfischbeck(at)hfg-karlsruhe.de
2025ss,Studio Kralle,"Prof. Constanze Fischbeck, Vera Gärtner",Exhibition Design and Scenography,R. 316 und Reling,"In einem Nagelstudio sitzen sich zwei Personen an einem Tisch gegenüber. Eine Szene in der Dienstleistung unmittelbar sichtbar wird: Die Hände der* Nageldesigner*in gestalten ein schmückendes Accessoire für die Hände der* Kund*in. Paradoxerweise ist es ein Accessoire, das in seiner historischen Bedeutung das Gegenteil von Arbeit symbolisierte. In der Ming-Dynastie Chinas beispielsweise waren lange künstliche Fingernägel ein Statussymbol von Frauen der herrschenden Klasse und galten als Beweis dafür, dass körperliche Arbeit nicht selbst verrichtet wurde. Das “Nägel-Machen” ist heute nicht länger auf eine bestimmte soziale Klasse beschränkt, vielmehr sind Nagelstudios populäre Self-Care-Treffpunkte. Der künstliche Fingernagel soll dabei bestimmte Schönheitsideale verwirklichen oder kann zum emanzipatorischen oder zum antifaschistischen Statement werden. Gleichzeitig findet die Arbeit in Nagelstudios oft unter prekären Bedingungen statt. Im Seminar „Studio Kralle“ widmen wir uns dem Thema Arbeit/Nichtarbeit und üben das experimentelle Arbeiten mit dem heute historischen Kulissenbau für Theater und Film. Dafür besuchen wir zunächst ein Nagelstudio in Karlsruhe und übertragen dessen Raum in die HfG. Unser Ziel ist es, eine Rauminstallation für die Reling zu entwerfen, die mehrere Funktionen erfüllen kann: die eines Filmsets, eines szenischen Raums und eines sozialen Treffpunkts während des Rundgangs. Uns interessiert die Schnittstelle zwischen filmischem Setbau und szenischer Installation. In dem von uns re-konstruierten Raum eröffnen sich performative Möglichkeiten: Wir können Realitäten fiktionalisieren und Gegebenheiten umkehren. Der experimentelle Umgang mit der Kulissenwand als dem symbolischen Werkzeug des szenischen “als ob” hilft dabei, die Widersprüche und Potentiale einer Dienstleistung - sowohl in der filmischen als auch in der performativen Situation - sichtbar zu machen. Dafür beschäftigen wir uns auszugsweise mit dem „Drama des Sehens“ (Ulrike Haß). Was sind die räumlichen und performativen Voraussetzungen, um eine Self-Care- in eine “we care”-Situation zu verwandeln? Welches Potential steckt in Arbeitsverweigerung? Inwiefern ist ein künstlicher Nagel Dekoration? Und was kann „Studio Kralle“ alles sein? Das Seminar holt sich Expertise bei einem Nagelstudio in Karlsruhe, bei der Modellbauwerkstatt der HfG sowie der Filmakademie Ludwigsburg um Theaterwandbau- und deren Inszenierungstechniken zu verstehen. Wir lesen den berühmten Text über Arbeitsverweigerung „Bartleby der Schreiber“ von Herman Melville und vieles mehr.",05.05.2025,25.07.2025,10:00 - 15:00,"Montags – 05.05., 12.05. (ganztägig, Ortsrecherche), 19.05., 26.05. (ganztägig, Exkursion), 13.06. (Ausnahme: Freitag!), 23.06., 30.06., 07.07., 14.07. Realisierungswoche: 02.06. - 06.06., ganztägig",Leistungsschein Szenografie,"cfischbeck(at)hfg-karlsruhe.de, vvgaertner(at)hfg-karlsruhe.de"
2025ss,MAS 011,Teresa Häußler,Exhibition Design and Scenography,R. 318,"Die geplante 11. Ausgabe von Materialien zu Ausstellungsgestaltung und Szenografie (MAS) beschäftigt sich mit Ausstellungsgestaltung in der DDR – ein oft übersehenes Kapitel der Designgeschichte. Während Gestalter*innen in der BRD und der DDR auf dasselbe modernistische Erbe zurückgriffen, mussten sie sich in verschiedenen politischen Kontexten behaupten. Wie passten sie ihre gestalterische Praxis an diese Bedingungen an? Und wie gelang es Künstler*innen und Designer*innen, sich innerhalb eines repressiven Staates kreative Freiräume zu bewahren? Eine zentrale Figur unserer Untersuchung ist Klaus Wittkugel, Grafiker, Ausstellungsmacher und Professor an der Hochschule Weissensee, dessen Werk einen Einblick in die Spannungsfelder des Designs in der DDR bietet. Das Archiv der Akademie der Künste in Berlin bildet die Grundlage für unsere Forschung. In Zusammenarbeit mit Prof. Paul Bailey und der Künstlerin Henrike Naumann entsteht eine Ausgabe, die sich kritisch mit den Themen Design und Propaganda auseinandersetzt. MAS 011 wird zum Ende des Sommersemesters erscheinen und beschäftigt sich mit der Schnittstelle von Design, Ideologie und Ausstellungsgestaltung in der DDR.",29.04.2025,27.06.2025,"10:00 - 16:00, Online 10:00 - 12:00","29. - 30.05., 26. - 27.06. und online 14.05., 28.05., 11.06.",Leistungsschein Fachtheorie Ausstellungsdesign,teresahaussler(at)gmail.com
2025ss,Ministerium für die Zukunft - 3. Folge und Finale,Prof. Constanze Fischbeck,Exhibition Design and Scenography,R. 316 und Zürich,"Kim Stanley Robinson beschrieb in seinem Roman “Das Ministerium der Zukunft” (2020) die Gründung einer transnationalen Institution als Reaktion auf eine verheerende Hitzewelle in Indien. Dieses “Ministry for the Future” (Ministerium für zukünftige Generationen) wird 2025 in Zürich gegründet. Inspiriert von dieser fiktiven Handlung realisiert das Neumarkt Theater Zürich mit Wissenschaftlerinnen vom Collegium Helveticum, Zürich und in Zusammenarbeit mit Studierenden der HfG Karlsruhe ein Setting für eine halbfiktionale, ortsspezifische und handlungsorientierte Serie von Performances, die gleichzeitig ein Klimaprojekt sind.In diesem Seminar beschäftigen wir uns mit climate fiction und dem Format des preenactments. Im Wintersemester wurden ein modulares Raum-Setting und Kostüme für ortsspezifische Inszenierungen von Versammlungen erarbeitet. Im Sommersemester endet das Projekt mit dem Finale der vierteiligen Serie, die nomadisch für jede Episode den Ort wechselt. Das bereits erarbeitete Setting wird jeweils an den neuen Ort angepasst und um eine künstlerische Intervention ergänzt.",02.04.2025,24.04.2025,09:00 - 22:00,Nach Vereinbarung und zwei Exkursionen 10. + 12.04. und 24. - 26.04.,Leistungsschein Szenografie,cfischbeck(at)hfg-karlsruhe.de
